Source,Sentence
Train,Мальчики стали делать для них горку.
Train,На дорогах блестят лужи.
Train,Стала Маша рвать розы.
Train,Цвели ландыши.
Train,Галя и Володя уехали летом в деревню.
Train,Все знают её хитрый нрав.
Train,Весело кричал петух.
Train,Пахнут ландыши.
Train,Всю зиму дети заботились о птицах.
Train,Во дворе уже поставили чучело.
Train,Мы с дедушкой смастерили скворечник.
Train,С ели упал ком снега.
Train,Шура и Егор вяли щенка домой.
Train,Ученики работают хорошо.
Train,У нас краски и кисти.
Train,Снег уже растаял.
Train,Хорошо детям на пляже.
Train,Лучи солнышка залили ярким светом весь двор.
Train,Наш двор большой.
Train,Они рады.
Train,Кругом лужи.
Train,Олег и Денис идут в лес.
Train,Дети убежали домой.
Train,Надина мама печёт румяные блины.
Train,У Любы и Маши кукла.
Train,Даша принесла ему молока.
Train,У Кати конь и зайка.
Train,Здесь обитают рыжие лисицы и колючие ежи.
Train,Около школы растут клёны и липы.
Train,В начале марта мы прощаемся с зимой.
Train,И в каждом гнездышке птенцы.
Train,Юра писал письмо.
Train,Яркие лучи солнышка стали чуть теплее.
Train,Тётя Нина и тётя Оля работают на фабрике.
Train,Мы идём на рыбалку.
Train,На реках треснул лёд.
Train,Мы встречаем весну.
Train,На реке идёт лёд.
Train,На берегу рос куст ивы.
Train,Они засыпали всю землю.
Train,Петя летом жил в деревне Власово.
Train,Я уже знаю все буквы.
Train,Хитер котик.
Train,Зоя звала Мурку домой.
Train,Они ловили рыбу.
Train,Волна за волной набегает на морской берег.
Train,Быстро закончился летний дождик.
Train,Коршун выпустил утёнка и улетел.
Train,Весной в зоопарке родились детёныши.
Train,Кот Васька прыгнул на камень.
Train,Кругом чистота и уют.
Train,Я её тащу.
Train,В тени росли ландыши.
Train,Заблестели лужи.
Train,Давно улетели скворцы и грачи.
Train,Они восхищают нас своими чудесными нарядами.
Train,Пушистый снег покрыл землю.
Train,За речкой на лугу сочная трава.
Train,В траве шуршит еж.
Train,Ожил старый парк.
Train,Зайчата и белка играют в прятки.
Train,С деревьев осыпались последние листочки.
Train,Осенью мы часто топили печку.
Train,Это был шиповник.
Train,Мурка пришла.
Train,Мальчики спустились к реке.
Train,Около дома росла маленькая яблонька.
Train,В саду созрели сливы.
Train,Льют дожди.
Train,Пролетело лето.
Train,Я бегу на лыжах по лесу.
Train,По двору бегали куры.
Train,Они ищут пищу.
Train,Набухшие почки сменила листва.
Train,У Зины и Лизы крошки хлеба.
Train,Маша была мала.
Train,Засверкали весёлые снежные искры.
Train,В лесу красиво.
Train,Кошке песню поёт.
Train,Журчит звонкий ручей.
Train,Мы жили у рощи.
Train,Петя и Света ученики.
Train,Я и мой брат Игорь любим маму.
Train,Идёт мелкий дождик.
Train,У крыльца подъезда растёт большой ясень.
Train,Утром выпал пушистый снег.
Train,По реке идёт лёд.
Train,Утром треснул лед.
Train,Они детишкам носят пищу.
Train,Миша упал в сугроб.
Train,Весь день над низкими кустиками гудели пчёлы.
Train,Застучали капли дождя.
Train,Из норы вылезает ёж.
Train,Я стучу по веткам елки.
Train,Трещат сороки.
Train,Весь день на горе толпа детей.
Train,Мы бежим по улице.
Train,Маленькая Олечка взяла кисть и акварельные краски.
Train,Лёня и Яна искали шишки.
Train,Ученик Юра Чайкин решал задачу.
Train,Папа и мама любили животных.
Train,Влад ходил в лес.
Train,У бабушки Даши есть огород.
Train,Лёд уносил с собой зимний холод.
Train,На широкий луг вышли малыши.
Train,Опять льёт сильный дождь.
Train,В полях и лесах бродит зима.
Train,Чудесным был маленький дворец.
Train,Ребята ловят рыбу.
Train,У них была собака розка.
Train,Вдруг Ваня увидел тучу.
Train,У них полные лукошки грибов.
Train,Мальчики стали учить буквы.
Train,Я и мой брат Алёша сделали горку.
Train,У Димы есть брат и сестра.
Train,Подул холодный ветер.
Train,Они отличные строители.
Train,На опушке стояла сторожка.
Train,Дуб надел белую шапку.
Train,Теперь выходить на тонкий лёд очень опасно.
Train,Ночью выпал снег.
Train,На клумбах жильцы посадили тюльпаны.
Train,На веточках вербы появились барашки.
Train,Бабушка засолит грибы на зиму.
Train,Лесные звери спешат укрыться от мороза.
Train,Ребята гурьбой бежали за собакой.
Train,С тётей Настей доили коров.
Train,В саду росли красивые кусты.
Train,Важно по двору шагал петух Яшка.
Train,Поют птички.
Train,Весело живёт лес летом.
Train,Ольга идёт на каток.
Train,Снег укрыл пни и кусты.
Train,Вода быстро несла бревно.
Train,Стоял жаркий день.
Train,У крыльца на кустах опять зачирикали воробьи.
Train,Солнечное летнее утро.
Train,Девочка дала козе хлеб.
Train,На Машеньке блузка с короткими рукавчиками и юбка с узким пояском.
Train,Тётя Нина вяжет пушистые шарфы.
Train,На берегу много луж.
Train,Липовый мёд вкусный и полезный.
Train,На улице пасмурно.
Train,Еж и барсук заснули в норах.
Train,Потом играли Андрей и Ваня.
Train,Выпал снег.
Train,У Глеба промок сапог.
Train,На окне мороз нарисовал чудесные узоры.
Train,На заводе делают машины.
Train,Звёзды вырезает Миша Лужин.
Train,Ваня заметил зайца.
Train,Зоя и Мурка играли.
Train,Зайка скрылся в кустах.
Train,Зиму мы звали.
Train,В кустах жил ежик.
Train,Ученики идут на стройку.
Train,Мы делали игрушки.
Train,На дворе сильный мороз и ветер.
Train,Закончился летний дождик.
Train,В огороде созрел урожай овощей.
Train,Нина и Лена рисовали сосны.
Train,Мы помогали деду сушить сеть.
Train,Котик сер и пушист.
Train,Я хочу поймать большую щуку.
Train,Мама любит слушать музыку.
Train,Узкая тропка вывела нас к тихому озерцу.
Train,Угасла свеча.
Train,Быстро мчат они на санках с горки.
Train,Игорь и Сергей пошли в лес.
Train,Весело звенят коньки по скользкому льду.
Train,Петя надел лыжи.
Train,Снег пушист.
Train,На ёлках блестит снег.
Train,На пеньке змея.
Train,Он ходит в школу.
Train,Папа купил ей лыжи.
Train,Настала зима.
Train,У огонька устраивались кот Вьюнок и ручной зайчик Ушастик.
Train,Мы дрожим от холода.
Train,Весной она цветёт душистыми розоватыми звёздочками.
Train,На рябине висели сочные ягоды.
Train,В руках у мальчика корм для птиц.
Train,Пришла осень.
Train,Скоро появится молодая зелёная травка.
Train,В пенале ручка и карандаш.
Train,С плеча у нее свисал шарф.
Train,Мальчики ловят в озере щук.
Train,Друзья вместе решили задачу.
Train,Верный Рыжик бежит за ним.
Train,Стоит ясный день.
Train,На сосне кричит сова.
Train,Много мёду получаем мы от пчёл.
Train,У крыльца машины.
Train,Начало лета.
Train,Дует свежий ветерок.
Train,По веткам скачут рыжие белки.
Train,Я люблю читать.
Train,Собака встретила человека.
Train,Папа вытащил большую щуку.
Train,По веткам скачут шимпанзе.
Train,Тишину утра нарушил бой часов.
Train,Наступил март.
Train,У Миши санки.
Train,Колючий ёжик будет спать в глубокой норе.
Train,Мороз застеклил лужи хрупким льдом.
Train,Подул резкий ветер.
Train,Я и мой брат Петя жили у деда.
Train,Попрощались с нами ласточки и кукушки.
Train,Все прячутся от зимней стужи.
Train,В лесу ландыши.
Train,Они сели под ель.
Train,Тёплый ветерок несёт по улицам города пух тополей.
Train,Они строят большой дом.
Train,Мама купила детям альбом и краски.
Train,У Катюши ёжик бежит по лесной тропинке.
Train,Собака прыгнула на бревно и спаслась от беды.
Train,Малыши угощали пернатых друзей семечками и кусочками овощей.
Train,Бабушка купила внукам букварь.
Train,На морском берегу играют дети.
Train,Ване семь лет.
Train,Вышли на охоту рысь и еж.
Train,Ребята идут в парк.
Train,Я учусь в школе.
Train,На большой льдине плывёт собака.
Train,Каждый вечер приходят сюда олени.
Train,Кот ловил мышей.
Train,Миша взял его домой.
Train,У всех свои домики.
Train,Шла лиса.
Train,Птицы улетают на юг.
Train,На пути была речка.
Train,Ребята поспешили к дому.
Train,Глаза зелёные.
Train,У Зои есть кошка Мурка.
Train,Моя бабушка живёт в селе Степаново.
Train,Тётя Оля вяжет тёплые кофты.
Train,Наступила весна.
Train,Пора строить гнездо.
Train,Не кричат грачи.
Train,Мальчики живут дружно.
Train,Малыши рады.
Train,Его берег зарос мягкой травкой.
Train,На сладкий запах к дереву летят пчёлы.
Train,Наступила тишина.
Train,Летом мы были в селе Ильинском.
Train,Чуть слышно тикают часы.
Train,Лапки у кота сухие.
Train,У Саши и Даши лыжи.
Train,Он жалобно скулил.
Train,Лиса попросилась в гости.
Train,В лесу цветут ландыши.
Train,Саша и Тимоша вышли из дома.
Train,У крыльца сидела собака Жучка.
Train,Ночью был сильный мороз.
Train,Скоро закружит белая метель.
Train,В портфеле у мальчика учебник и тетрадь.
Train,Назвали его Рыжик.
Train,Стайками улетели стрижи и скворцы.
Train,Не стучат дятлы.
Train,По дорожке прыгал воробей.
Train,Под елью была нора.
Train,Весной у них много забот.
Train,У нас идёт большая стройка.
Train,Внучка Даша жила у деда в деревне.
Train,Уж не страшен мороз.
Train,Овощам нужен полив и хороший уход.
Train,Дятлы стучат по дубу.
Train,Поет дрозд.
Train,В небе плывут пушистые облачка.
Train,Бобры строят хатки.
Train,Гусь плывёт к мостику.
Train,Потом услышал ребячьи крики и помчался к друзьям.
Train,Яркое солнце.
Train,Стоят сильные морозы.
Train,Во дворе дети лепили снеговика.
Train,Лучи падали на крышу дома.
Train,Толстый лёд сковал быстрый ручей.
Train,Яркими лучами осветило снега.
Train,Скоро в прочных и широких гнёздах запищат грачата.
Train,Пора домой.
Train,Внучата Анечка и Саша кормят пушистых зверьков.
Train,День стоял тёплый.
Train,По земле бегут ручейки.
Train,Зимой за окном метёт пурга.
Train,В руке Ваня несёт большой букет цветов.
Train,Полил дождик.
Train,Пошла Катя утром за грибами.
Train,Летом ребята нашли в лесу щенка.
Train,К воде полз уж.
Train,За сладким нектаром прилетела первая пчела.
Train,Деревня Чайка.
Train,Я забрел в чащу леса.
Train,На вершине ели чиж свил гнездо.
Train,На реке льдины.
Train,Зверёк его заметил.
Train,Берёзки нарядились в пушистые шубки.
Train,Большой ком снега упал с сосны.
Train,Воробьи носили своим чадам мух и комаров.
Train,У крыльца звонко журчат ручейки.
Train,Только дятлы стучат по стволам.
Train,Никита строит дом.
Train,Ушла зима.
Train,Была зима.
Train,Улетела птичка.
Train,Ребята потрогали зверька и выпустили.
Train,Трещат морозы.
Train,Слава и Игорь играют в мяч.
Train,Кругом снег.
Train,Они кормят птиц.
Train,Наш пёс Рыжик любил пугать птиц.
Train,Утята были маленькие.
Train,На столе лежали игрушки.
Train,Всё вокруг зазеленело.
Train,Потом будет сладкий пирог и чай.
Train,Мальчики срезали три розы для мамы.
Train,Над зелёным лугом встала нарядная арка радуги.
Train,Они собирали сочные листочки щавеля.
Train,В вышине они ловят мошек и комаров.
Train,Под елью шуршат ежи.
Train,Дети идут в парк.
Train,Был ясный день.
